id,phase,repeat,S_mv,D_mv,E,D,I,V,S_real,E_real,BPM,mp3_path
31,3,4,2,0,0.0,0.303125,0.019585503472222224,0.0,0.44062500000000004,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0031.mp3
32,3,7,1,0,1.0,0.21875,0.005425347222222221,0.00025329786781185155,0.465625,0.013572072473204836,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0032.mp3
33,3,4,0,2,0.0,0.49999999999999994,0.08680555555555557,0.0,0.421875,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0033.mp3
34,3,4,1,2,0.0,0.490625,0.08251953125,0.0,0.528125,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0034.mp3
35,3,2,0,0,0.0,0.303125,0.019585503472222224,0.0,0.4281250000000001,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0035.mp3
36,3,4,2,2,0.0,0.471875,0.07427300347222222,0.0,0.5062500000000001,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0036.mp3
37,3,6,1,0,0.0,0.22812500000000002,0.006564670138888888,0.0,0.459375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0037.mp3
38,3,6,2,1,1.0,0.396875,0.04562717013888889,0.00016151214365221233,0.46562500000000007,0.009214762263260371,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0038.mp3
39,3,6,0,0,0.5,0.3125,0.02170138888888889,3.0314146755775777e-05,0.553125,0.004503365664013354,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0039.mp3
40,3,0,2,1,0.0,0.38749999999999996,0.04253472222222223,0.0,0.47187500000000004,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0040.mp3
41,3,7,2,1,0.0,0.40625,0.048828125,0.0,0.5249999999999999,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0041.mp3
42,3,0,2,2,1.0,0.49999999999999994,0.08680555555555557,0.00015763398553840724,0.48437500000000006,0.008642573087858447,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0042.mp3
43,3,4,1,1,0.0,0.38749999999999996,0.04253472222222223,0.0,0.50625,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0043.mp3
44,3,1,2,0,0.5,0.25625,0.010633680555555558,3.98112322994864e-05,0.45625000000000004,0.004558186453532872,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0044.mp3
45,3,1,1,0,0.0,0.27499999999999997,0.01388888888888889,0.0,0.440625,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0045.mp3
46,3,5,2,0,1.0,0.303125,0.019585503472222224,0.0001997848580673649,0.425,0.010522062867995455,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0046.mp3
47,3,4,0,1,0.5,0.40625,0.048828125,5.374621482389582e-05,0.453125,0.005353742803788074,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0047.mp3
48,3,1,2,2,1.0,0.5375,0.10503472222222221,0.00022373082427236887,0.49375,0.012050210748266628,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0048.mp3
49,3,1,1,1,0.0,0.359375,0.03390842013888889,0.0,0.51875,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0049.mp3
50,3,3,0,0,0.0,0.265625,0.01220703125,0.0,0.5125,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0050.mp3
51,3,2,1,1,0.0,0.34062499999999996,0.028700086805555556,0.0,0.515625,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0051.mp3
52,3,6,0,0,1.0,0.25625,0.010633680555555558,0.000156840384898054,0.475,0.009186708399143286,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0052.mp3
53,3,7,1,0,0.0,0.21875,0.005425347222222221,0.0,0.46562500000000007,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0053.mp3
54,3,2,1,0,1.0,0.246875,0.009168836805555554,0.00013023682163036074,0.503125,0.007234579698819479,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0054.mp3
